Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.0345734
2,Intensity 2,36,0,0.1,0.4,0.0111489
3,Intensity 3,36,0,0.15,0.4,0.00543893
4,Intensity 4,36,0,0.2,0.4,0.0031793
5,Intensity 5,36,0,0.25,0.4,0.00206108
6,Intensity 6,36,0,0.3,0.4,0.0014297
7,Intensity 7,36,0,0.35,0.4,0.00104049
8,Intensity 8,36,0,0.4,0.4,0.000784946
9,Intensity 9,35,0,0.45,0.4,0.000608986
10,Intensity 10,36,0,0.5,0.4,0.000483218
11,Intensity 11,36,0,0.7,0.4,0.000224384
12,Intensity 12,36,0,0.9,0.4,0.000122791
13,Intensity 13,36,0,1.3,0.4,4.83373e-05
14,Intensity 14,36,0,1.8,0.4,2.00663e-05
15,Intensity 15,35,0,2.6,0.4,6.94532e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Acceleration,1,1,0.0267,0.026,0.048,0.0303,0.0397,0.0362,0.025,0.0284,0.026,0.0218,0.0366,0.0342,0.0491,0.0442,0.0158,0.0275,0.0139,0.0281,0.0364,0.0338,0.0218,0.0212,0.0289,0.0372,0.0271,0.0228,0.032,0.0289,0.0303,0.0307,0.0256,0.0321,0.0254,0.0149,0.0273,0.0215
1,Acceleration,1,2,0.0288,0.0236,0.0477,0.0308,0.0409,0.0341,0.0249,0.0254,0.0272,0.0215,0.037,0.0341,0.0475,0.0437,0.0125,0.0281,0.0202,0.0283,0.0264,0.0212,0.0176,0.0137,0.0429,0.0229,0.0298,0.0262,0.0308,0.0264,0.0184,0.0352,0.0304,0.0337,0.0375,0.0137,0.0338,0.0332
1,Acceleration,2,1,0.0509,0.0391,0.0568,0.0461,0.0757,0.0752,0.06,0.0495,0.0643,0.0458,0.0626,0.0558,0.0581,0.0543,0.0494,0.0481,0.0403,0.04,0.0596,0.0607,0.0403,0.0412,0.0709,0.0511,0.0514,0.0462,0.0489,0.0413,0.0607,0.1025,0.0639,0.051,0.0392,0.0368,0.042,0.0315
1,Acceleration,2,2,0.0403,0.0412,0.0518,0.0531,0.0627,0.0441,0.0363,0.0515,0.05,0.047,0.05,0.058,0.0496,0.0989,0.031,0.0395,0.0499,0.0483,0.0826,0.0359,0.0425,0.0431,0.0502,0.0694,0.0461,0.0923,0.0463,0.0406,0.0368,0.0494,0.0511,0.0484,0.0484,0.0471,0.0536,0.0559
1,Acceleration,3,1,0.0384,0.0643,0.0521,0.0564,0.0685,0.0867,0.0578,0.0558,0.0587,0.0487,0.0923,0.0639,0.0555,0.0595,0.0538,0.0768,0.0468,0.0594,0.1032,0.0622,0.0575,0.0421,0.0752,0.0649,0.0735,0.0444,0.0602,0.0725,0.0694,0.068,0.0591,0.0491,0.0399,0.0547,0.0583,0.0373
1,Acceleration,3,2,0.0631,0.0807,0.0491,0.1073,0.1081,0.0723,0.0448,0.0696,0.0812,0.0726,0.0646,0.0719,0.0495,0.0916,0.0498,0.0565,0.0545,0.0994,0.0589,0.0607,0.037,0.0527,0.0632,0.084,0.0876,0.0875,0.0904,0.0487,0.0493,0.0605,0.0606,0.0516,0.0519,0.0522,0.0892,0.0659
1,Acceleration,4,1,0.0926,0.1083,0.0965,0.095,0.1126,0.1301,0.0842,0.081,0.1125,0.1,0.1558,0.0845,0.0786,0.0961,0.0902,0.1214,0.0942,0.0911,0.1403,0.0963,0.1416,0.0984,0.122,0.1232,0.1292,0.0949,0.0705,0.132,0.134,0.0882,0.0835,0.065,0.0997,0.0973,0.1221,0.1141
1,Acceleration,4,2,0.1173,0.1475,0.0525,0.1796,0.1947,0.1434,0.0709,0.1201,0.111,0.1139,0.0983,0.1091,0.0889,0.1198,0.0985,0.0934,0.1156,0.1721,0.0849,0.1095,0.0628,0.0797,0.0923,0.1561,0.1218,0.1318,0.1659,0.0859,0.0783,0.0863,0.1124,0.081,0.0701,0.1046,0.1536,0.108
1,Acceleration,5,1,0.0537,0.042,0.0588,0.0456,0.0732,0.0654,0.0631,0.0439,0.0702,0.0421,0.0662,0.0556,0.0556,0.0536,0.0496,0.0425,0.0341,0.0426,0.0632,0.05,0.048,0.0384,0.0584,0.0433,0.0427,0.044,0.0488,0.0506,0.0644,0.0906,0.0601,0.0482,0.0389,0.0378,0.0459,0.0421
1,Acceleration,5,2,0.0413,0.0422,0.053,0.055,0.0686,0.0512,0.0329,0.0532,0.0581,0.0499,0.0511,0.0599,0.0486,0.0886,0.0318,0.0403,0.0478,0.0484,0.0766,0.039,0.0392,0.0434,0.0498,0.0716,0.049,0.0918,0.0479,0.0395,0.038,0.0498,0.0441,0.0503,0.0491,0.039,0.0557,0.0468
