Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.037277
2,Intensity 2,36,0,0.1,0.4,0.0121145
3,Intensity 3,36,0,0.15,0.4,0.00594069
4,Intensity 4,36,0,0.2,0.4,0.00348653
5,Intensity 5,36,0,0.25,0.4,0.00226774
6,Intensity 6,36,0,0.3,0.4,0.00157754
7,Intensity 7,36,0,0.35,0.4,0.00115097
8,Intensity 8,36,0,0.4,0.4,0.000870264
9,Intensity 9,36,0,0.45,0.4,0.000676573
10,Intensity 10,36,0,0.5,0.4,0.000537869
11,Intensity 11,36,0,0.55,0.4,0.000435523
12,Intensity 12,36,0,0.6,0.4,0.000358118
13,Intensity 13,36,0,0.65,0.4,0.00029835
14,Intensity 14,36,0,0.7,0.4,0.000251377
15,Intensity 15,36,0,0.75,0.4,0.000213895
16,Intensity 16,34,0,0.8,0.4,0.000183584
17,Intensity 17,35,0,0.85,0.4,0.000158785
18,Intensity 18,35,0,0.9,0.4,0.000138283
19,Intensity 19,36,0,0.95,0.4,0.000121175
20,Intensity 20,36,0,1,0.4,0.00010678
21,Intensity 21,34,0,1.1,0.4,8.41569e-05
22,Intensity 22,34,0,1.2,0.4,6.74733e-05
23,Intensity 23,33,0,1.3,0.4,5.48923e-05
24,Intensity 24,30,0,1.4,0.4,4.52231e-05
25,Intensity 25,34,0,1.5,0.4,3.76687e-05
26,Intensity 26,31,0,1.6,0.4,3.16812e-05
27,Intensity 27,29,0,1.7,0.4,2.68754e-05
28,Intensity 28,27,0,1.8,0.4,2.29745e-05
29,Intensity 29,29,0,1.9,0.4,1.97762e-05
30,Intensity 30,29,0,2,0.4,1.71302e-05
31,Intensity 31,28,0,2.2,0.4,1.30682e-05
32,Intensity 32,29,0,2.4,0.4,1.01628e-05
33,Intensity 33,24,0,2.6,0.4,8.03382e-06
34,Intensity 34,28,0,2.8,0.4,6.44122e-06
35,Intensity 35,28,0,3,0.4,5.22845e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
2,Acceleration,3,2,0.119508,0.119811,0.103799,0.172056,0.202561,0.127708,0.126733,0.13245,0.125346,0.127648,0.14468,0.13446,0.13577,0.124049,0.147475,0.158878,0.166491,0.117768,0.109527,0.226838,0.149349,0.127386,0.128167,0.193791,0.191585,0.139903,0.12209,0.171241,0.16415,0.155011,0.120949,0.124634,0.165984,0.181951,0.150982,0.165041
2,Residual Drift,,,7.33948e-06,9.74941e-06,1.06277e-05,8.25214e-06,8.99887e-06,8.88497e-06,8.83092e-06,7.53593e-06,1.45569e-05,8.78119e-06,8.76093e-06,8.84449e-06,8.99529e-06,8.86726e-06,8.8816e-06,8.87832e-06,8.88466e-06,8.88481e-06,8.91214e-06,8.88705e-06,8.88091e-06,8.87453e-06,8.88781e-06,8.86791e-06,8.87983e-06,8.88027e-06,8.8813e-06,8.88297e-06,8.89575e-06,8.86986e-06,8.91134e-06,8.84577e-06,8.88187e-06,8.28266e-06,8.88719e-06,8.88932e-06
3,Story Drift Ratio,1,1,6.22134e-05,4.76043e-05,6.97353e-05,7.20082e-05,5.72331e-05,6.02057e-05,6.69602e-05,5.15208e-05,4.97481e-05,5.56405e-05,6.97965e-05,4.84498e-05,6.7012e-05,6.18345e-05,4.28704e-05,6.16775e-05,4.15956e-05,5.69196e-05,6.39153e-05,5.94867e-05,5.73758e-05,7.41951e-05,4.34716e-05,5.80854e-05,5.44104e-05,5.21706e-05,4.71973e-05,6.77825e-05,7.21201e-05,5.70756e-05,5.17951e-05,5.93398e-05,5.35809e-05,5.95042e-05,4.731e-05,4.63368e-05
3,Story Drift Ratio,1,2,6.00287e-05,7.00578e-05,6.99713e-05,7.12421e-05,8.85278e-05,6.10181e-05,6.21647e-05,7.17417e-05,6.15178e-05,5.23707e-05,6.63161e-05,5.49809e-05,7.00325e-05,8.28372e-05,6.31874e-05,5.68216e-05,7.86187e-05,4.99785e-05,5.44739e-05,8.46296e-05,6.66559e-05,5.21678e-05,6.60579e-05,9.63166e-05,8.77601e-05,6.66149e-05,6.26232e-05,7.17195e-05,7.70256e-05,7.03373e-05,6.02321e-05,6.07712e-05,6.64269e-05,7.03208e-05,7.53939e-05,7.97975e-05
3,Story Drift Ratio,2,1,8.11983e-05,6.0533e-05,6.60858e-05,7.97796e-05,7.13406e-05,6.62856e-05,7.75729e-05,6.62623e-05,6.18465e-05,6.283e-05,7.5546e-05,5.76956e-05,6.27028e-05,6.76842e-05,5.13189e-05,5.52015e-05,5.75747e-05,7.36498e-05,6.24623e-05,5.47613e-05,7.27445e-05,9.61015e-05,5.41554e-05,5.46536e-05,5.96586e-05,6.42903e-05,5.82046e-05,7.64093e-05,8.46648e-05,6.70955e-05,6.2989e-05,7.19161e-05,5.4142e-05,8.44566e-05,6.41744e-05,6.15454e-05
3,Story Drift Ratio,2,2,7.47614e-05,8.22229e-05,7.22275e-05,8.16498e-05,0.00010038,6.44717e-05,6.67037e-05,8.94297e-05,7.69849e-05,6.22187e-05,7.1927e-05,6.01956e-05,7.04174e-05,8.725e-05,7.97887e-05,6.77776e-05,9.45579e-05,5.44651e-05,6.38099e-05,0.000105468,8.06229e-05,6.0856e-05,7.35891e-05,0.000112071,9.89087e-05,8.58824e-05,6.40685e-05,8.17537e-05,8.47636e-05,7.83677e-05,7.69757e-05,6.84206e-05,6.99614e-05,8.11032e-05,8.87814e-05,9.51762e-05
3,Acceleration,1,1,0.0792062,0.0713683,0.140784,0.103179,0.128038,0.111276,0.0794706,0.0843763,0.0847237,0.076773,0.120959,0.0985936,0.151136,0.138327,0.0561601,0.103929,0.0524257,0.0925146,0.125262,0.137554,0.0920683,0.0789232,0.0938613,0.132578,0.101708,0.0784185,0.108153,0.114519,0.123339,0.110759,0.0767094,0.109157,0.116775,0.0644693,0.0906227,0.0886513
3,Acceleration,1,2,0.0791074,0.0691076,0.14465,0.102179,0.127412,0.107188,0.0788583,0.0767569,0.0847934,0.073595,0.121958,0.0987465,0.14364,0.138135,0.0433147,0.0896148,0.0767009,0.0936119,0.0906321,0.086295,0.07084,0.0485322,0.138092,0.0814673,0.115612,0.0944589,0.104036,0.11739,0.0749236,0.130221,0.0921678,0.115643,0.12491,0.0618187,0.112754,0.127175
3,Acceleration,2,1,0.106352,0.108737,0.153518,0.150563,0.178151,0.132257,0.156099,0.122705,0.108102,0.116324,0.159935,0.120725,0.16054,0.152675,0.089321,0.14715,0.0929507,0.133914,0.178035,0.167715,0.141248,0.152636,0.141841,0.148175,0.122555,0.111159,0.132188,0.169723,0.184588,0.132823,0.107108,0.143368,0.161073,0.113728,0.126452,0.118979
3,Acceleration,2,2,0.105461,0.114999,0.15942,0.146337,0.18171,0.144992,0.104916,0.14021,0.1393,0.106681,0.136331,0.117024,0.154287,0.15963,0.123798,0.127571,0.155177,0.111264,0.104293,0.163378,0.128318,0.111297,0.143232,0.165812,0.188771,0.142906,0.151853,0.161084,0.141839,0.178599,0.127097,0.135061,0.152396,0.15198,0.164244,0.168348
